version,BN,Regularizer,cluster key,cluster set,cluster dhn,cluster nodes,cluster size,cluster type,cut ratio,is inverted flux,ML input features,ML output features,mae,best_loss
8,0,1,7-c,2,4,"[36, 38, 59]",3,1-2,1.0,0,4,2,0.12367044197853884,0.015177763998508453
7,0,0,8-c,2,4,"[17, 18, 43, 53]",4,2-1,0.75,0,6,1,0.411745520490749,0.02010059915482998
8,0,1,8-c,2,4,"[17, 18, 43, 53]",4,2-1,0.75,0,6,1,0.47211442309930274,0.026682764291763306
7,0,0,9-c,2,4,"[51, 52, 68, 84]",4,1-2,0.75,0,5,2,0.11272166101896161,0.01106965821236372
8,0,1,9-c,2,4,"[51, 52, 68, 84]",4,1-2,0.75,0,5,2,0.1323774451829431,0.017192397266626358
7,0,0,10-c,2,4,"[5, 7, 24, 33]",4,1-4,1.25,0,5,4,0.16382736620817648,0.013626289553940296
8,0,1,10-c,2,4,"[5, 7, 24, 33]",4,1-4,1.25,0,5,4,0.19151041341606306,0.0200557392090559
7,0,0,12-c,2,4,"[25, 26, 44]",3,1-0,0.3333333333333333,0,4,0,0.02021681221565027,0.005210458766669035
8,0,1,12-c,2,4,"[25, 26, 44]",3,1-0,0.3333333333333333,0,4,0,0.02756099254852436,0.010325364768505096
7,0,0,13-c,2,4,"[24, 33]",2,1-2,1.5,0,3,2,0.12318825530748836,0.013942393474280834
8,0,1,13-c,2,4,"[24, 33]",2,1-2,1.5,0,3,2,0.13969760819429436,0.01971135474741459
7,0,0,14-c,2,4,"[51, 52, 79, 80, 84]",5,1-0,0.2,0,6,0,0.034869373663119096,0.009986401535570621
8,0,1,14-c,2,4,"[51, 52, 79, 80, 84]",5,1-0,0.2,0,6,0,0.046674028035257865,0.0170937217772007
7,0,0,15-c,2,4,"[14, 15, 19, 21, 46, 47, 57, 58, 85, 89]",10,2-6,0.8,0,12,6,0.08784517539081634,0.0077090137638151646
8,0,1,15-c,2,4,"[14, 15, 19, 21, 46, 47, 57, 58, 85, 89]",10,2-6,0.8,0,12,6,0.664311931717736,0.06302700191736221
7,0,0,16-c,2,4,"[3, 36, 38, 39, 40, 59, 67, 68]",8,1-5,0.75,0,9,5,0.13330195068017572,0.009411959908902645
8,0,1,16-c,2,4,"[3, 36, 38, 39, 40, 59, 67, 68]",8,1-5,0.75,0,9,5,0.15705779476321277,0.016589350998401642
7,0,0,18-c,2,4,"[8, 21, 57, 58, 61, 85]",6,1-5,1.0,0,7,5,0.15859775139362187,0.01107072178274393
8,0,1,18-c,2,4,"[8, 21, 57, 58, 61, 85]",6,1-5,1.0,0,7,5,0.19015445503265818,0.017581796273589134
7,0,0,20-c,2,4,"[19, 21, 34, 47, 57, 64]",6,2-4,1.0,0,8,4,0.06841516173873995,0.007697900757193565
8,0,1,20-c,2,4,"[19, 21, 34, 47, 57, 64]",6,2-4,1.0,0,8,4,0.08371121563362173,0.013456219807267189
7,0,0,21-c,2,4,"[2, 3, 13, 67, 69, 70]",6,1-3,0.6666666666666666,0,7,3,0.11327184375700167,0.00846316758543253
8,0,1,21-c,2,4,"[2, 3, 13, 67, 69, 70]",6,1-3,0.6666666666666666,0,7,3,0.133832318553817,0.015160932205617428
7,0,0,22-c,2,4,"[36, 38, 39, 40, 51, 59, 68, 84]",8,1-3,0.5,0,9,3,0.12291571246954418,0.010303232818841934
8,0,1,22-c,2,4,"[36, 38, 39, 40, 51, 59, 68, 84]",8,1-3,0.5,0,9,3,0.15396408419395632,0.017365869134664536
7,0,0,23-c,2,4,"[2, 3, 51, 67, 68, 84]",6,1-5,1.0,0,7,5,0.11863107649482187,0.008939330466091633
8,0,1,23-c,2,4,"[2, 3, 51, 67, 68, 84]",6,1-5,1.0,0,7,5,0.14513239190170496,0.015122217126190662
