version,Regularizer,cluster key,cluster set,cluster dhn,cluster nodes,cluster size,cluster type,cut ratio,is inverted flux,ML input features,ML output features,mae,best_loss
11,1,17-c,1,2,"[3, 12, 13, 18, 19]",5,1-2,0.6,0,6,2,0.3325386163307366,0.025241438299417496
10,0,20-c,1,2,"[5, 6, 7, 15, 20]",5,1-2,0.6,0,6,2,0.1523940073130717,0.010498331859707832
11,1,20-c,1,2,"[5, 6, 7, 15, 20]",5,1-2,0.6,0,6,2,0.18343936731590765,0.016571741551160812
10,0,24-c,1,2,"[3, 4, 12, 13, 18, 19]",6,1-1,0.3333333333333333,0,7,1,0.3452639836743274,0.02239949442446232
11,1,24-c,1,2,"[3, 4, 12, 13, 18, 19]",6,1-1,0.3333333333333333,0,7,1,0.3883933376240505,0.02908371575176716
10,0,0-c,2,2,"[6, 20]",2,1-0,0.5,0,3,0,0.008157449069908883,0.0025172848254442215
11,1,0-c,2,2,"[6, 20]",2,1-0,0.5,0,3,0,0.012188253378422659,0.006608812138438225
10,0,2-c,2,2,"[3, 12, 13]",3,1-2,1.0,0,4,2,0.14382406394585345,0.011431737802922726
11,1,2-c,2,2,"[3, 12, 13]",3,1-2,1.0,0,4,2,0.16568859510567438,0.017203520983457565
10,0,3-c,2,2,"[5, 6]",2,1-1,1.0,0,3,1,0.08230061129540452,0.0072067417204380035
11,1,3-c,2,2,"[5, 6]",2,1-1,1.0,0,3,1,0.09794789894441859,0.01212963368743658
10,0,4-c,2,2,"[5, 6, 7, 15]",4,1-3,1.0,0,5,3,0.17185550949927933,0.011193386279046535
11,1,4-c,2,2,"[5, 6, 7, 15]",4,1-3,1.0,0,5,3,0.2024385617567684,0.017445873469114304
10,0,5-c,2,2,"[3, 12, 13, 17, 18]",5,1-2,0.6,0,6,2,0.15246502070573498,0.011602146551012993
11,1,5-c,2,2,"[3, 12, 13, 17, 18]",5,1-2,0.6,0,6,2,0.17939134930449702,0.01797373965382576
10,0,6-c,2,2,"[3, 13]",2,1-2,1.5,0,3,2,0.10724948634011264,0.00862518884241581
11,1,6-c,2,2,"[3, 13]",2,1-2,1.5,0,3,2,0.12304503922170826,0.013818335719406605
10,0,10-c,2,2,"[5, 6, 7]",3,1-3,1.3333333333333333,0,4,3,0.10180415731414881,0.007651652675122023
11,1,10-c,2,2,"[5, 6, 7]",3,1-3,1.3333333333333333,0,4,3,0.1267330592568346,0.013404777273535728
10,0,11-c,2,2,"[17, 18]",2,1-1,1.0,0,3,1,0.08757819197296696,0.009630600921809673
11,1,11-c,2,2,"[17, 18]",2,1-1,1.0,0,3,1,0.10217085007468228,0.014907986856997013
10,0,12-c,2,2,"[8, 9]",2,2-2,2.0,0,4,2,0.4479080556775352,0.025423763319849968
11,1,12-c,2,2,"[8, 9]",2,2-2,2.0,0,4,2,0.4984909530856652,0.03267109394073486
10,0,15-c,2,2,"[12, 18]",2,1-2,1.5,0,3,2,0.3287854440741885,0.020724358037114143
11,1,15-c,2,2,"[12, 18]",2,1-2,1.5,0,3,2,0.35716524363140906,0.02642601914703846
10,0,16-c,2,2,"[7, 15]",2,1-3,2.0,0,3,3,0.13336570307581974,0.008980236947536469
11,1,16-c,2,2,"[7, 15]",2,1-3,2.0,0,3,3,0.15743205955511147,0.014876275323331356
10,0,0-c,1,3,"[27, 28, 37, 43, 56, 57, 58]",7,1-0,0.14285714285714285,0,8,0,0.01098185063807519,0.002920853905379772
11,1,0-c,1,3,"[27, 28, 37, 43, 56, 57, 58]",7,1-0,0.14285714285714285,0,8,0,0.016155961116168516,0.007656062487512827
10,0,1-c,1,3,"[17, 18, 19, 33, 34, 40, 59]",7,1-0,0.14285714285714285,0,8,0,0.018366220499634767,0.004660611506551504
11,1,1-c,1,3,"[17, 18, 19, 33, 34, 40, 59]",7,1-0,0.14285714285714285,0,8,0,0.024853082604826666,0.009740469045937061
10,0,2-c,1,3,"[6, 7, 8, 17, 18, 19, 33, 34, 35, 40, 53, 59]",12,1-0,0.08333333333333333,0,13,0,0.01697600006639364,0.004124151077121496
11,1,2-c,1,3,"[6, 7, 8, 17, 18, 19, 33, 34, 35, 40, 53, 59]",12,1-0,0.08333333333333333,0,13,0,0.022918670731463652,0.008174928836524487
10,0,3-c,1,3,"[20, 21, 22]",3,1-0,0.3333333333333333,0,4,0,0.02830065175345907,0.00663850037381053
11,1,3-c,1,3,"[20, 21, 22]",3,1-0,0.3333333333333333,0,4,0,0.03349306384832115,0.010719893500208855
10,0,4-c,1,3,"[2, 3, 4, 36, 46, 50, 51, 52, 54, 55]",10,1-0,0.1,0,11,0,0.026162623519034693,0.005562232341617346
11,1,4-c,1,3,"[2, 3, 4, 36, 46, 50, 51, 52, 54, 55]",10,1-0,0.1,0,11,0,0.03456618408792494,0.010243348777294159
10,0,5-c,1,3,"[14, 15, 16, 47, 48, 60, 61]",7,1-0,0.14285714285714285,0,8,0,0.016353571591119963,0.0036678193137049675
11,1,5-c,1,3,"[14, 15, 16, 47, 48, 60, 61]",7,1-0,0.14285714285714285,0,8,0,0.023012357540972174,0.0075900256633758545
10,0,6-c,1,3,"[23, 24]",2,1-0,0.5,0,3,0,0.0037217874374491184,0.0011750210542231798
11,1,6-c,1,3,"[23, 24]",2,1-0,0.5,0,3,0,0.00766989762745053,0.004297256004065275
10,0,7-c,1,3,"[2, 3, 36, 46, 52, 54, 55]",7,1-1,0.2857142857142857,0,8,1,0.09757375179181153,0.009657555259764194
11,1,7-c,1,3,"[2, 3, 36, 46, 52, 54, 55]",7,1-1,0.2857142857142857,0,8,1,0.11169917582708647,0.013588539324700832
10,0,9-c,1,3,"[8, 33, 53]",3,1-2,1.0,0,4,2,0.08805674176717407,0.006701859645545483
11,1,9-c,1,3,"[8, 33, 53]",3,1-2,1.0,0,4,2,0.10645974640162759,0.011403249576687813
10,0,10-c,1,3,"[1, 14, 38, 39, 42, 44, 45]",7,1-2,0.42857142857142855,0,8,2,0.08704620319477654,0.007931193336844444
11,1,10-c,1,3,"[1, 14, 38, 39, 42, 44, 45]",7,1-2,0.42857142857142855,0,8,2,0.09993010719263301,0.01217596884816885
10,0,11-c,1,3,"[27, 37, 43]",3,1-3,1.3333333333333333,0,4,3,0.05514814636971446,0.004048534668982029
11,1,11-c,1,3,"[27, 37, 43]",3,1-3,1.3333333333333333,0,4,3,0.07303900789985923,0.009752337820827961
10,0,12-c,1,3,"[6, 7, 8]",3,1-3,1.3333333333333333,0,4,3,0.08261770099911599,0.006309913471341133
11,1,12-c,1,3,"[6, 7, 8]",3,1-3,1.3333333333333333,0,4,3,0.10330454261595992,0.011578577570617199
10,0,13-c,1,3,"[16, 48]",2,1-1,1.0,0,3,1,0.2323559700887103,0.013421979732811451
11,1,13-c,1,3,"[16, 48]",2,1-1,1.0,0,3,1,0.2589402728326069,0.018788324669003487
10,0,15-c,1,3,"[33, 34, 59]",3,1-1,0.6666666666666666,0,4,1,0.030331268025344756,0.004446111153811216
11,1,15-c,1,3,"[33, 34, 59]",3,1-1,0.6666666666666666,0,4,1,0.03736221152205497,0.009211094118654728
10,0,16-c,1,3,"[7, 35]",2,1-0,0.5,0,3,0,0.045665686059931286,0.008695775642991066
11,1,16-c,1,3,"[7, 35]",2,1-0,0.5,0,3,0,0.05532471729169564,0.012660333886742592
10,0,17-c,1,3,"[14, 15, 16, 60]",4,1-3,1.0,0,5,3,0.17150909094812,0.009301216341555119
11,1,17-c,1,3,"[14, 15, 16, 60]",4,1-3,1.0,0,5,3,0.20641753143361294,0.015464999713003635
10,0,18-c,1,3,"[5, 6, 8, 17, 18, 33, 40]",7,1-4,0.7142857142857143,0,8,4,0.12098732118251525,0.007884313352406025
11,1,18-c,1,3,"[5, 6, 8, 17, 18, 33, 40]",7,1-4,0.7142857142857143,0,8,4,0.1387632198829854,0.013545357622206211
10,0,19-c,1,3,"[11, 13, 20, 21]",4,1-2,0.75,0,5,2,0.17163909435986524,0.009939526207745075
11,1,19-c,1,3,"[11, 13, 20, 21]",4,1-2,0.75,0,5,2,0.1942099850161696,0.015141956508159637
10,0,20-c,1,3,"[46, 52, 54]",3,1-2,1.0,0,4,2,0.06417258411430529,0.005505585111677647
