version,Regularizer,cluster key,cluster set,cluster dhn,cluster nodes,cluster size,cluster type,cut ratio,is inverted flux,ML input features,ML output features,mae,best_loss
1,0,6-c,2,1,"[31, 36, 37, 40]",4,1-5,1.5,0,5,5,0.05102312289158245,0.004585497546941042
5,1,6-c,2,1,"[31, 36, 37, 40]",4,1-5,1.5,0,5,5,0.08741466879863251,0.011374972760677338
1,0,7-c,2,1,"[36, 37, 38, 39, 40, 44, 47, 48, 69]",9,1-6,0.7777777777777778,0,10,6,0.12397336139144588,0.008032877929508686
5,1,7-c,2,1,"[36, 37, 38, 39, 40, 44, 47, 48, 69]",9,1-6,0.7777777777777778,0,10,6,0.20732197887236387,0.018095077946782112
1,0,8-c,2,1,"[47, 49]",2,1-1,1.0,0,3,1,0.034824619384924295,0.0034743030555546284
5,1,8-c,2,1,"[47, 49]",2,1-1,1.0,0,3,1,0.05802599045551332,0.010037573985755444
1,0,9-c,2,1,"[12, 18, 19, 20, 30, 36, 37, 39, 40, 47, 48, 60, 69]",13,2-7,0.6923076923076923,1,15,7,0.23388290115916643,0.013561450876295567
5,1,9-c,2,1,"[12, 18, 19, 20, 30, 36, 37, 39, 40, 47, 48, 60, 69]",13,2-7,0.6923076923076923,1,15,7,2.059733741002146,0.1260504573583603
1,0,10-c,2,1,"[19, 20, 69, 70]",4,1-2,0.75,0,5,2,0.09112086981330658,0.006875029765069485
5,1,10-c,2,1,"[19, 20, 69, 70]",4,1-2,0.75,0,5,2,0.13879087847664953,0.015468664467334747
1,0,11-c,2,1,"[36, 38, 44, 62]",4,1-1,0.5,0,5,1,0.02936050151045189,0.0035282534081488848
5,1,11-c,2,1,"[36, 38, 44, 62]",4,1-1,0.5,0,5,1,0.04694201142614823,0.009609485976397991
1,0,13-c,2,1,"[9, 11, 16]",3,1-2,1.0,1,4,2,0.7083069173545913,0.027791257947683334
5,1,13-c,2,1,"[9, 11, 16]",3,1-2,1.0,1,4,2,5.064784297204005,0.22229517996311188
1,0,14-c,2,1,"[33, 67, 68]",3,1-1,0.6666666666666666,0,4,1,0.05362442964459952,0.005443926900625229
5,1,14-c,2,1,"[33, 67, 68]",3,1-1,0.6666666666666666,0,4,1,0.11134746143308026,0.015669330954551697
1,0,15-c,2,1,"[6, 8, 29, 34, 50, 53, 54, 55]",8,1-5,0.75,1,9,5,0.09044513501019853,0.006388032343238592
5,1,15-c,2,1,"[6, 8, 29, 34, 50, 53, 54, 55]",8,1-5,0.75,1,9,5,0.14374393862885343,0.01322675310075283
1,0,16-c,2,1,"[31, 33, 39, 40, 47, 48]",6,1-6,1.1666666666666667,0,7,6,0.07721055776416967,0.0053153447806835175
5,1,16-c,2,1,"[31, 33, 39, 40, 47, 48]",6,1-6,1.1666666666666667,0,7,6,0.6055102431652724,0.11876906454563141
1,0,17-c,2,1,"[6, 7, 8, 22, 50, 56]",6,2-4,1.0,0,8,4,0.08660148127335943,0.007872523739933968
5,1,17-c,2,1,"[6, 7, 8, 22, 50, 56]",6,2-4,1.0,0,8,4,0.13081974864768506,0.01601620391011238
1,0,18-c,2,1,"[7, 11, 12, 16, 17, 19, 20, 22, 30, 60, 69]",11,3-4,0.6363636363636364,1,14,4,0.22332952220445226,0.016721321269869804
5,1,18-c,2,1,"[7, 11, 12, 16, 17, 19, 20, 22, 30, 60, 69]",11,3-4,0.6363636363636364,1,14,4,0.9148652851096883,0.1314643919467926
1,0,19-c,2,1,"[2, 3, 5, 27, 41, 42]",6,2-1,0.5,1,8,1,0.10325708046337487,0.009290339425206184
5,1,19-c,2,1,"[2, 3, 5, 27, 41, 42]",6,2-1,0.5,1,8,1,0.20302677197208477,0.021341966465115547
1,0,20-c,2,1,"[17, 18, 31, 36, 37, 40]",6,1-5,1.0,0,7,5,0.06136027654596427,0.0053476919420063496
5,1,20-c,2,1,"[17, 18, 31, 36, 37, 40]",6,1-5,1.0,0,7,5,0.10750825945587358,0.012729308567941189
1,0,21-c,2,1,"[6, 29, 34, 53, 54, 55]",6,1-3,0.6666666666666666,1,7,3,0.07390439934883584,0.004886044654995203
5,1,21-c,2,1,"[6, 29, 34, 53, 54, 55]",6,1-3,0.6666666666666666,1,7,3,0.16470937336477223,0.013704363256692886
1,0,22-c,2,1,"[6, 7, 11, 12, 16, 19, 20, 22, 30, 60, 69, 70]",12,3-4,0.5833333333333334,0,15,4,0.13072142992097305,0.01159908901900053
5,1,22-c,2,1,"[6, 7, 11, 12, 16, 19, 20, 22, 30, 60, 69, 70]",12,3-4,0.5833333333333334,0,15,4,0.2570186038115204,0.0231137964874506
1,0,24-c,2,1,"[13, 14, 27, 28, 29, 41, 42, 54]",8,2-5,0.875,1,10,5,0.08680892955700932,0.0073542664758861065
5,1,24-c,2,1,"[13, 14, 27, 28, 29, 41, 42, 54]",8,2-5,0.875,1,10,5,0.14712190934525407,0.017051860690116882
1,0,25-c,2,1,"[6, 17, 18, 22, 34, 36]",6,2-3,0.8333333333333334,0,8,3,0.05977618255333753,0.006379017140716314
5,1,25-c,2,1,"[6, 17, 18, 22, 34, 36]",6,2-3,0.8333333333333334,0,8,3,0.09465053098191185,0.014038640074431896
1,0,26-c,2,1,"[14, 24, 25, 43, 52, 65]",6,1-2,0.5,0,7,2,0.0772135170272347,0.006280265748500824
5,1,26-c,2,1,"[14, 24, 25, 43, 52, 65]",6,1-2,0.5,0,7,2,0.11572984814664944,0.013648909516632557
1,0,27-c,2,1,"[6, 17, 18, 22, 34, 36, 38]",7,2-3,0.7142857142857143,0,9,3,0.07229429696087032,0.006991829723119736
5,1,27-c,2,1,"[6, 17, 18, 22, 34, 36, 38]",7,2-3,0.7142857142857143,0,9,3,0.10528649344919784,0.014905967749655247
1,0,28-c,2,1,"[17, 18, 22, 36, 38, 44, 62]",7,2-1,0.42857142857142855,1,9,1,0.11768897920498869,0.01108378916978836
5,1,28-c,2,1,"[17, 18, 22, 36, 38, 44, 62]",7,2-1,0.42857142857142855,1,9,1,0.17852547517144254,0.020034927874803543
1,0,29-c,2,1,"[9, 11, 12, 16, 19, 21, 30, 60]",8,2-2,0.5,0,10,2,0.17855108062873457,0.017958711832761765
5,1,29-c,2,1,"[9, 11, 12, 16, 19, 21, 30, 60]",8,2-2,0.5,0,10,2,3.461442523414916,0.16997897624969482
1,0,0-c,1,2,"[17, 18, 19]",3,1-0,0.3333333333333333,0,4,0,0.05736991715276482,0.01242665946483612
5,1,0-c,1,2,"[17, 18, 19]",3,1-0,0.3333333333333333,0,4,0,0.08393569457494235,0.02246151864528656
1,0,1-c,1,2,"[12, 13, 17, 18, 19]",5,1-0,0.2,0,6,0,0.057753243686962,0.013594516552984715
5,1,1-c,1,2,"[12, 13, 17, 18, 19]",5,1-0,0.2,0,6,0,0.07392793641306764,0.02339843101799488
1,0,2-c,1,2,"[1, 5, 6, 7, 14, 15, 20]",7,1-0,0.14285714285714285,0,8,0,0.03939444611069628,0.008333989419043064
5,1,2-c,1,2,"[1, 5, 6, 7, 14, 15, 20]",7,1-0,0.14285714285714285,0,8,0,0.05743662336777931,0.017497286200523376
1,0,3-c,1,2,"[3, 4]",2,1-1,1.0,0,3,1,0.05928603240276412,0.00813797116279602
5,1,3-c,1,2,"[3, 4]",2,1-1,1.0,0,3,1,0.08378136276964564,0.01452368963509798
1,0,4-c,1,2,"[3, 4, 12, 13]",4,1-1,0.5,0,5,1,0.12185592337257396,0.011594931595027447
