version,BN,Regularizer,cluster key,cluster set,cluster dhn,cluster nodes,cluster size,cluster type,cut ratio,is inverted flux,ML input features,ML output features,mae,best_loss
10,0,1,9-c,2,4,"[51, 52, 68, 84]",4,1-2,0.75,0,5,2,0.12426752917137274,0.015000683255493641
8,0,0,10-c,2,4,"[5, 7, 24, 33]",4,1-4,1.25,0,5,4,0.13350556380721668,0.011211466044187546
10,0,1,10-c,2,4,"[5, 7, 24, 33]",4,1-4,1.25,0,5,4,0.22201672710360693,0.022187311202287674
8,0,0,12-c,2,4,"[25, 26, 44]",3,1-0,0.3333333333333333,0,4,0,0.014411514756344964,0.0037406340707093477
10,0,1,12-c,2,4,"[25, 26, 44]",3,1-0,0.3333333333333333,0,4,0,0.028573868110430868,0.012084915302693844
8,0,0,13-c,2,4,"[24, 33]",2,1-2,1.5,0,3,2,0.0967855627041167,0.01059646438807249
10,0,1,13-c,2,4,"[24, 33]",2,1-2,1.5,0,3,2,0.133823081457519,0.018152587115764618
8,0,0,14-c,2,4,"[51, 52, 79, 80, 84]",5,1-0,0.2,0,6,0,0.02099345116319372,0.005991058424115181
8,0,0,15-c,2,4,"[14, 15, 19, 21, 46, 47, 57, 58, 85, 89]",10,2-6,0.8,0,12,6,0.06064750278117445,0.005100750830024481
10,0,1,15-c,2,4,"[14, 15, 19, 21, 46, 47, 57, 58, 85, 89]",10,2-6,0.8,0,12,6,0.1305409268732837,0.01420561969280243
8,0,0,16-c,2,4,"[3, 36, 38, 39, 40, 59, 67, 68]",8,1-5,0.75,0,9,5,0.10277004856121524,0.007154223043471575
10,0,1,16-c,2,4,"[3, 36, 38, 39, 40, 59, 67, 68]",8,1-5,0.75,0,9,5,0.17392561501483184,0.0174097940325737
8,0,0,18-c,2,4,"[8, 21, 57, 58, 61, 85]",6,1-5,1.0,0,7,5,0.12967266668727595,0.00860893540084362
10,0,1,18-c,2,4,"[8, 21, 57, 58, 61, 85]",6,1-5,1.0,0,7,5,0.24487097211863343,0.019848642870783806
8,0,0,20-c,2,4,"[19, 21, 34, 47, 57, 64]",6,2-4,1.0,0,8,4,0.04656861802081649,0.005172153003513813
10,0,1,20-c,2,4,"[19, 21, 34, 47, 57, 64]",6,2-4,1.0,0,8,4,1.1540588332643889,0.08905376493930817
8,0,0,21-c,2,4,"[2, 3, 13, 67, 69, 70]",6,1-3,0.6666666666666666,0,7,3,0.08791645011769551,0.006326851900666952
10,0,1,21-c,2,4,"[2, 3, 13, 67, 69, 70]",6,1-3,0.6666666666666666,0,7,3,0.1462236853293551,0.015664562582969666
8,0,0,22-c,2,4,"[36, 38, 39, 40, 51, 59, 68, 84]",8,1-3,0.5,0,9,3,0.0935724095740511,0.007890784181654453
10,0,1,22-c,2,4,"[36, 38, 39, 40, 51, 59, 68, 84]",8,1-3,0.5,0,9,3,0.18296120709056435,0.018367992714047432
8,0,0,23-c,2,4,"[2, 3, 51, 67, 68, 84]",6,1-5,1.0,0,7,5,0.08849538911532565,0.006663837004452944
10,0,1,23-c,2,4,"[2, 3, 51, 67, 68, 84]",6,1-5,1.0,0,7,5,0.15855912723418267,0.016233287751674652
8,0,0,24-c,2,4,"[39, 51, 52, 68, 79, 80, 84]",7,1-1,0.2857142857142857,0,8,1,0.039279338283833905,0.0048152063973248005
10,0,1,24-c,2,4,"[39, 51, 52, 68, 79, 80, 84]",7,1-1,0.2857142857142857,0,8,1,0.057605925393507645,0.01203231979161501
8,0,0,25-c,2,4,"[19, 20, 27, 28, 47, 62, 63, 64]",8,2-3,0.625,0,10,3,0.13592632396163865,0.008199980482459068
10,0,1,25-c,2,4,"[19, 20, 27, 28, 47, 62, 63, 64]",8,2-3,0.625,0,10,3,0.26209399284253726,0.02114887721836567
8,0,0,26-c,2,4,"[8, 10, 21, 34, 35, 57, 61, 81]",8,1-4,0.625,0,9,4,0.12731702811040457,0.0080862520262599
10,0,1,26-c,2,4,"[8, 10, 21, 34, 35, 57, 61, 81]",8,1-4,0.625,0,9,4,0.22653620291601695,0.01938909851014614
8,0,0,27-c,2,4,"[19, 20, 21, 27, 28, 34, 35, 57, 90]",9,1-4,0.5555555555555556,0,10,4,0.05636313568701104,0.004719926510006189
10,0,1,27-c,2,4,"[19, 20, 21, 27, 28, 34, 35, 57, 90]",9,1-4,0.5555555555555556,0,10,4,0.1163638281660018,0.01433707308024168
8,0,0,28-c,2,4,"[8, 10, 21, 41, 57, 58, 61, 81]",8,1-5,0.75,0,9,5,0.13771583845687643,0.008423191495239735
10,0,1,28-c,2,4,"[8, 10, 21, 41, 57, 58, 61, 81]",8,1-5,0.75,0,9,5,0.22871244702328702,0.01922338642179966
8,0,0,29-c,2,4,"[14, 15, 19, 20, 27, 28, 46, 47]",8,2-5,0.875,0,10,5,0.12155481898967792,0.007174890022724867
10,0,1,29-c,2,4,"[14, 15, 19, 20, 27, 28, 46, 47]",8,2-5,0.875,0,10,5,0.27377151346368594,0.020332032814621925
